jabby,5045666038,67957458,3,2,2,3,0.53846157,408,146,3,0,1,0,5,0,49.688297,15.27,0
fc,5045666038,86770710,1,2,3,3,0.7692308,303,56,1,0,14,0,7,0,13.799097,14.66,0
deadprez,5045666038,84153087,0,2,10,5,0.51282054,515,198,2,0,0,0,8,0,39.23232,18.02,1.64
bloodninja,5045666038,65291924,2,2,20,1,0.71794873,636,271,1,0,0,0,5,1,19.957148,22.27,0
A Bug,5045666038,80097514,4,2,3,6,0.5897436,267,27,0,0,0,1,1,0,118.60269,16.21,0
FatSloth,5045666038,40927904,0,2,6,7,0.6666667,437,244,0,0,0,1,1,0,7.8549533,8.02,-2.01
Joric,5045666038,82626476,1,2,6,4,0.7777778,486,222,0,0,0,3,8,0,20.98492,14.8,0
Vort,5045666038,193889381,3,2,2,7,0.7777778,392,110,0,0,0,1,5,0,12.983376,10.28,0
Trishula,5045666038,241251731,4,2,2,8,0.6666667,189,23,0,0,13,1,1,0,0,9.53,0
FatSloth,5045713275,40927904,0,2,12,7,0.65625,549,464,3,0,0,0,4,1,54.02042,18.7,-4.67
Joric,5045713275,82626476,1,2,9,5,0.75,519,443,1,0,1,1,8,0,106.263016,22.74,0
Trishula,5045713275,241251731,4,2,3,12,0.46875,282,39,0,0,23,1,12,0,31.091778,15.56,0
Vort,5045713275,193889381,3,2,2,9,0.53125,278,123,0,1,2,0,2,0,137.83249,18.07,0
jabby,5045713275,67957458,3,2,8,3,0.73170733,461,283,0,0,1,2,20,0,87.88299,23.17,0
fc,5045713275,86770710,1,2,3,9,0.70731705,405,149,2,0,24,0,5,0,107.12456,23.43,0
deadprez,5045713275,84153087,0,2,20,6,0.80487806,594,387,2,1,0,2,11,0,4.92168,23.75,2.16
A Bug,5045713275,80097514,4,2,3,11,0.58536583,258,31,1,0,0,1,2,0,0,7.79,0
bloodninja,5045713275,65291924,2,2,7,3,0.7804878,639,531,3,0,0,2,10,0,91.46952,24.78,0
CRAP,5047328183,42291565,0,2,4,6,0.75,426,187,1,0,2,2,3,0,31.20813,12.56,-1.4
DerpyDots,5047328183,158722998,1,2,1,2,0.41666666,462,233,0,0,0,0,1,0,0,6.96,0
ALooseMoose,5047328183,83487685,4,2,3,7,0.75,256,45,0,0,2,1,5,0,42.75059,12.6,0
Kabobrocks,5047328183,89104101,3,2,2,7,0.5833333,208,15,0,0,10,0,1,0,7.5739746,8.75,0
OneWing,5047328183,87036049,2,2,2,4,0.8333333,313,110,0,0,0,0,3,1,25.13428,14.76,0
Little Duckie,5047328183,185803626,2,2,4,4,0.53846157,265,20,0,0,13,3,4,0,25.677002,13.91,0
fierysnake,5047328183,40436072,1,2,1,1,0.15384616,530,283,2,0,0,1,4,0,0,9.33,0
UltraGunner,5047328183,106670947,0,2,14,1,0.7307692,822,334,3,1,1,0,6,0,0.13326171,13.34,-5.72
Wicked_SiCK,5047328183,118128399,3,2,5,5,0.8076923,364,140,1,0,0,0,3,0,17.986328,12.04,0
BB.347,5047328183,164778266,4,2,2,1,0.6923077,255,41,0,0,0,0,5,0,29.629274,11.02,0
